0,48,0,0,0,1,206,75
0,42,0,3,206,115,144,422
0,48,0,0,0,2,205,774
0,42,0,3,206,115,144,1122
0,48,0,0,0,4,203,1472
0,48,0,0,0,4,203,2137
0,42,0,3,206,115,144,2488
0,48,0,0,0,64,143,2839
0,43,0,0,0,0,212,3201
0,43,0,0,0,0,212,3869
0,48,0,0,0,64,143,4222
0,48,0,0,0,64,143,4889
0,43,0,0,0,8,204,5237
0,48,0,0,0,64,143,5587
0,43,0,0,0,16,196,5933
0,43,0,0,0,16,196,6601
0,48,0,0,0,64,143,6951
0,43,0,0,0,24,188,7300
0,48,0,0,0,64,143,7650
0,43,0,0,0,32,180,8012
0,48,0,0,0,64,143,8364
0,48,0,0,0,64,143,9027
0,43,0,0,0,40,172,9375
